文章,タグ
名刺情報を取り込んで自動登録できませんか。,REQ
入力途中で電話が来ると内容が消えてしまいます。,BUG
案件の進捗状況をチーム内で共有しやすくしてほしいです。,REQ
月間目標との差異を自動計算して表示してほしいです。,REQ
訪問予定を地図と連動して表示できませんか。,REQ
顧客ごとの注意事項を目立つ場所に表示してほしいです。,REQ
同じ内容のメールを一括送信できるようにしてほしいです。,REQ
過去の見積との比較がしづらいです。,IMP
失注理由を簡単に選択入力できるようにしてほしいです。,REQ
外出先でも操作しやすい画面デザインにしてほしいです。,REQ
営業会議用の資料を自動で作成できると助かります。,FBK
担当変更時に引き継ぎ情報をまとめて表示してほしいです。,REQ
売上ランキングをリアルタイムで見たいです。,IMP
顧客別の与信状況をすぐ確認できるようにしてほしいです。,REQ
入力項目が多くて商談後の登録に時間がかかります。,IMP
メール履歴もまとめて見られるようにしてほしいです。,REQ
商談メモを音声入力できませんか。,REQ
見積承認状況を一目で確認したいです。,INF
受注確定時に自動通知が飛ぶようにしてほしいです。,REQ
過去のキャンペーン情報をすぐ参照できると助かります。,FBK
もっと直感的に案件管理できる仕組みにしてほしいです。,REQ
仕訳入力時に前回の内容をコピーできるようにしてほしいです。,REQ
月末処理中は動作が遅くなるので改善してほしいです。,REQ
勘定科目を選択する際に検索しやすくしてほしいです。,REQ
入力ミスがある場合はその場で明確に表示してほしいです。,REQ
伝票番号を自動採番してほしいです。,REQ
承認状況を一覧で確認できるようにしてほしいです。,REQ
支払予定表を自動でできるようにしてほしいです。,REQ
この画面だけなぜか哲学的に感じるのですが,QST
クリック音をもう少し勇ましくできますか,REQ
エラー文が正論すぎて少し傷つきます,BUG
ログイン成功時に褒めてもらえませんか,IMP
処理中表示が長くて人生を考え始めます,IMP
この一覧は眺めていると眠くなります,IMP
検索結果が賢すぎて逆に怖いです,IMP
ボタン配置が昨日と仲違いした気分です,IMP
入力欄がこちらを試している気がします,IMP
なぜか月曜だけ反応が鈍い気がします,QST
成功メッセージをもっと祝祭風にできますか,REQ
この色合いは空腹時に厳しいです,IMP
読み込み中表示に物語性を持たせたいです,IMP
スクロール量が性格を試されている感じです,IMP
画面遷移が旅番組みたいに長いです,IMP
保存した瞬間の余韻が足りません,IMP
入力完了時に拍手音は出せますか,INF
この警告文は少し人生指導っぽいです,IMP
ログアウト時に名残惜しさがあります,IMP
検索精度が高すぎて疑っています,IMP
背景色が午後になると強く感じます,IMP
このUIは私を試していませんか,IMP
この項目だけ態度が硬い気がします,IMP
クリック感が思想的に軽いです,IMP
読み込み中の円が人生みたいに回ります,IMP
表示速度が哲学的な速さです,IMP
なぜか深夜だけ優しく動きます,QST
エラー表示が正直すぎて刺さります,BUG
保存前確認が慎重派すぎます,IMP
検索欄がこちらを見ています,IMP
色分けが芸術的すぎて判断できません,IMP
ボタンの角丸が優しすぎます,IMP
更新後に風が吹いた気がしました,IMP
文字サイズが謙虚すぎます,IMP
成功表示が静かすぎて不安です,IMP
この画面は月末だけ重い性格です,IMP
ローディングが壮大すぎます,IMP
なぜか保存時に緊張します,QST
配色が会議向きのテンションです,IMP
検索中表示が旅立ちみたいです,IMP
操作音をもう少し説得力ある音にできますか,REQ
この一覧は悟りを開けそうです,IMP
更新ボタンが遠慮がちです,IMP
入力欄が考え込んでいます,IMP
読み込み中が長くて友情が芽生えました,IMP
このUIは少し照れ屋ですね,IMP
エラー音が優しすぎて気付きません,BUG
配色が雨の日仕様に見えます,IMP
なぜかこの画面だけ人格があります,QST
入力確定の瞬間がドラマチックです,IMP
この表示は哲学書っぽいです,IMP
更新後の静けさが深いです,IMP
読み込み中に成長を感じます,IMP
配置が将棋盤みたいです,IMP
この画面は風格があります,IMP
成功表示にもっと祝福感がほしいです,REQ
スクロール量が修行級です,IMP
クリック感が思想強めです,IMP
なぜかこの欄だけ主張が強いです,QST
保存後に余白の余韻があります,IMP
UIが急に大人びた気がします,IMP
配色が説得力を持っています,IMP
読み込み円が哲学的速度です,IMP
入力中に見守られている気がします,IMP
更新表示が静寂すぎます,IMP
この警告は人格があります,IMP
ボタンの影が頼もしすぎます,IMP
検索結果が人格者です,IMP
保存時に達成感が足りません,IMP
UIが急に悟りました,IMP
この画面は古参の風格です,IMP
エラー表示が人格者すぎます,BUG
読み込みが壮大な旅です,IMP
配色が人格を持っています,IMP
入力欄が意思表示しています,IMP
ボタンが覚悟を決めています,IMP
更新通知が控えめな紳士です,IMP
この画面は精神統一向きです,IMP
検索欄が全知っぽいです,IMP
保存成功が哲学的です,IMP
操作感が人格者です,IMP
ローディングが叙情的です,IMP
UIが人格を持ち始めました,IMP
この仕様は感情移入してきます,IMP
